ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only],1075848978::Type  [read only],1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849102::View Column Expression,1075849115::Empty Is Null,1075849117::Read Only,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849131::Physical Order  [read only],1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849172::Physical Only,1075849173::Logical Only,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849731::Font Color,1075849769::Generated Identity,1075849842::Color Is Inherited,1075849843::Font Inherited,1075849998::Font Size,1075849999::Font Bold,1075850000::Font Italic,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850085::Attribute Order  [read only],1075850088::Column Order  [read only],1075850089::Theme,1075850186::Expression,1075850237::Logical Lead Attribute  [read only],1075850245::Physical Lead Attribute  [read only],1075850297::Font Charset,1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850744::Sparse,1075851000::Is Filestream,1075851001::Is Sparse Column Set,1075851147::Font,1075851148::Font Name,1075851149::Font Strikethrough,1075851150::Font Underscore,1075851212::Average Width,1075851250::Is Encrypted,1075851720::Image,1075852305::Column Mask Function,1075852321::Column Encryption Key,1075852322::Encryption Type,1075852340::Hidden,1075852464::Password,1075852560::PII,1075853568::Column Class,1075853916::Attribute Data Vault Complaincy
"1075838981::233","PersonID",Column,"","PersonID","","PersonID","Table_ufnGetContactInformation_229","PersonID","","Non Primary Key","","int","","Not Null","","","","","","","1","","","","","int","Number","","8470830","","","","10","false","false","","","","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","","","",""
"1075838981::234","FirstName",Column,"","FirstName","","FirstName","Table_ufnGetContactInformation_229","FirstName","","Non Primary Key","","nvarchar(50)","","Null","","","","","","","2","","","","","nvarchar(50)","String","","8470830","","","","10","false","false","","","","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","","","",""
"1075838981::235","LastName",Column,"","LastName","","LastName","Table_ufnGetContactInformation_229","LastName","","Non Primary Key","","nvarchar(50)","","Null","","","","","","","3","","","","","nvarchar(50)","String","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","","","",""
"1075838981::236","JobTitle",Column,"","JobTitle","","JobTitle","Table_ufnGetContactInformation_229","JobTitle","","Non Primary Key","","nvarchar(50)","","Null","","","","","","","4","","","","","nvarchar(50)","String","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","","","",""
"1075838981::237","BusinessEntityType",Column,"","BusinessEntityType","","BusinessEntityType","Table_ufnGetContactInformation_229","BusinessEntityType","","Non Primary Key","","nvarchar(50)","","Null","","","","","","","5","","","","","nvarchar(50)","String","","8470830","","","","10","false","false","","","","5","5","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","","","",""
"1075838981::561","SystemInformationID",Column,"Primary key for AWBuildVersion records.","SystemInformationID","Primary key for AWBuildVersion records.","SystemInformationID","AWBuildVersion,SystemInformationID","SystemInformationID","","Primary Key","","tinyint","","Not Null","","","","","","","1","","","","","BYTE","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::562","Database Version",Column,"Version number of the database in 9.yy.mm.dd.00 format.","Database Version","Version number of the database in 9.yy.mm.dd.00 format.","Database_Version","AWBuildVersion","Database Version","","Non Primary Key","","nvarchar(25)","","Not Null","","","","","","","2","","","","","NVARCHAR(25)","String","","8470830","","","","10","false","false","","","","2","2","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","26","","Default String Icon","","","","false","","","",""
"1075838981::563","VersionDate",Column,"Date and time the record was last updated.","VersionDate","Date and time the record was last updated.","VersionDate","AWBuildVersion","VersionDate","","Non Primary Key","","datetime","","Not Null","","","","","","","3","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::564","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","AWBuildVersion","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","4","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::570","DatabaseLogID",Column,"Primary key for DatabaseLog records.","DatabaseLogID","Primary key for DatabaseLog records.","DatabaseLogID","DatabaseLog,DatabaseLogID","DatabaseLogID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
