ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849120::Generate As Udd,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075850186::Expression,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850700::Persisted,1075850737::Schema,1075852278::Extended Notes Order  [read only],1075848986::Value,1075849458::Default Value,1075849712::Generate SQL 92 Format,1075849713::Is Detach,1075849717::Is Supplied,1075849718::System Generated,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075849458::Default Value,1075850516::User Formatted Name  [read only]
"1075839019::38","NULL",Default Value,"","NULL","","","true","false","NULL","","","NULL","","","","NULL","","","","","","","","","NULL"
"1075839019::39","USER",Default Value,"","USER","","","true","false","USER","","","USER","","","","USER","","","","","","","","","USER"
"1075839019::40","CURRENT_TIMESTAMP",Default Value,"","CURRENT_TIMESTAMP","","","true","false","CURRENT_TIMESTAMP","","","CURRENT_TIMESTAMP","","","","CURRENT_TIMESTAMP","","","","","","","","","CURRENT_TIMESTAMP"
"1075839019::41","CURRENT_USER",Default Value,"","CURRENT_USER","","","true","false","CURRENT_USER","","","CURRENT_USER","","","","CURRENT_USER","","","","","","","","","CURRENT_USER"
"1075839019::42","SESSION_USER",Default Value,"","SESSION_USER","","","true","false","SESSION_USER","","","SESSION_USER","","","","SESSION_USER","","","","","","","","","SESSION_USER"
"1075839019::43","SYSTEM_USER",Default Value,"","SYSTEM_USER","","","true","false","SYSTEM_USER","","","SYSTEM_USER","","","","SYSTEM_USER","","","","","","","","","SYSTEM_USER"
"1075839019::565","DF_AWBuildVersion_ModifiedDate",Default Value,"","DF_AWBuildVersion_ModifiedDate","","","","","DF_AWBuildVersion_ModifiedDate","","DF_AWBuildVersion_ModifiedDate","DF_AWBuildVersion_ModifiedDate","","dbo","","getdate()","","","","","","false","","","DF_AWBuildVersion_ModifiedDate"
"1075839019::590","DF_ErrorLog_ErrorTime",Default Value,"","DF_ErrorLog_ErrorTime","","","","","DF_ErrorLog_ErrorTime","","DF_ErrorLog_ErrorTime","DF_ErrorLog_ErrorTime","","dbo","","getdate()","","","","","","false","","","DF_ErrorLog_ErrorTime"
"1075839019::599","DF_Department_ModifiedDate",Default Value,"","DF_Department_ModifiedDate","","","","","DF_Department_ModifiedDate","","DF_Department_ModifiedDate","DF_Department_ModifiedDate","","HumanResources","","getdate()","","","","","","false","","","DF_Department_ModifiedDate"
"1075839019::631","DF_Employee_SalariedFlag",Default Value,"","DF_Employee_SalariedFlag","","","","","DF_Employee_SalariedFlag","","DF_Employee_SalariedFlag","DF_Employee_SalariedFlag","","HumanResources","","1","","","","","","false","","","DF_Employee_SalariedFlag"
