ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848978::Type,1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849115::Empty Is Null,1075849117::Read Only,1075849120::Generate As Udd,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849769::Generated Identity,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850186::Expression,1075850193::Dependent Objects  [read only],1075850199::Attribute Name,1075850270::Column Name,1075850303::Attribute Definition,1075850304::Column Comment,1075850516::User Formatted Name  [read only],1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850563::Class Name,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850656::Assembly,1075850664::Code Type,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850737::Schema,1075850744::Sparse,1075850840::Parameter Order List  [read only],1075851000::Is Filestream,1075851212::Average Width,1075851264::Attribute Note List  [read only],1075851720::Image,1075851721::Attribute Image,1075852278::Extended Notes Order  [read only]
"1075838983::32","<root>",Domain,"","<root>","<Root>","","","","Null","","","","","","","","","","_root_","CHAR(18)","","","","","","","","_default_","%AttDomain","%AttName","","%AttDef","<root>","","","","","","","SQL","","","","","","","","","","","",""
"1075838983::33","<default>",Domain,"","<default>","<Default>","","char(18)","","Null","","","false","","","","","","","_default_","CHAR(18)","_root_","","","","","","","String,Number,Datetime,Blob,OrganizationNode,SpatialLocation,DocumentNode","%AttDomain","%AttName","","%AttDef","<default>","","","","","","","SQL","","","","","","","","","","Default <unknown> Icon","Default <unknown> Icon",""
"1075838983::34","String",Domain,"","String","String","","varchar(20)","","Null","","","false","","","","","","","String","VARCHAR(20)","_default_","","","","","","","AccountNumber,Name,OrderNumber,Phone,FirstName,LastName,JobTitle,BusinessEntityType,Database_Version,DatabaseUser,Event,Schema,Object,TSQL,XmlEvent,UserName,ErrorProcedure,ErrorMessage,NationalIDNumber,LoginID,OrganizationLevel,JobTitle,MaritalStatus,Gender,Resume,AddressLine1,AddressLine2,City,PostalCode,CountryRegionCode,EmailAddress,PasswordHash,PasswordSalt,PersonType,Title,Suffix,AdditionalContactInfo,Demographics,StateProvinceCode,CultureID,DocumentLevel,Title,FileName,FileExtension,Revision,DocumentSummary,Diagram,ProductNumber,Color,Size,ProductLine,Class,Style,Description,Shelf,CatalogDescription,Instructions,ThumbnailPhotoFileName,LargePhotoFileName,EmailAddress,Comments,TransactionType,TransactionType,UnitMeasureCode,StockedQty,LineTotal,StockedQty,TotalDue,PurchasingWebServiceURL,CardType,CardNumber,CurrencyCode,AccountNumber,CarrierTrackingNumber,LineTotal,SalesOrderNumber,CreditCardApprovalCode,TotalDue,Comment,Group,ShoppingCartID,Description,Type,Category,Demographics,FirstName,MiddleName,LastName,TelephoneNumber,TelephoneSpecialInstructions,Street,City,StateProvince,PostalCode,CountryRegion,HomeAddressSpecialInstructions,EMailAddress,EMailSpecialInstructions,EMailTelephoneNumber,Title,FirstName,MiddleName,LastName,Suffix,JobTitle,PhoneNumber,PhoneNumberType,EmailAddress,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName,AdditionalContactInfo,Title,FirstName,MiddleName,LastName,Suffix,JobTitle,Department,GroupName,Title,FirstName,MiddleName,LastName,Suffix,Shift,Department,GroupName,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,AddressType,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName,Demographics,TotalPurchaseYTD,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,Prefix,First,Middle,Last,Suffix,Skills,Type,CountryRegion,State,City,PostalCode,EMail,WebSite,StartDate,EndDate,OrgName,JobTitle,Responsibility,FunctionCategory,IndustryCategory,CountryRegion,State,City,Level,StartDate,EndDate,Degree,Major,Minor,GPA,GPAScale,School,CountryRegion,State,City,Name,ProductModel,CultureID,Description,Name,Summary,Manufacturer,Copyright,ProductURL,WarrantyPeriod,WarrantyDescription,NoOfYears,MaintenanceDescription,Wheel,Saddle,Pedal,BikeFrame,Crankset,PictureAngle,PictureSize,ProductPhotoID,Material,Color,ProductLine,Style,RiderExperience,Name,Instructions,LocationID,SetupHours,MachineHours,LaborHours,LotSize,Step,Title,FirstName,MiddleName,LastName,Suffix,JobTitle,PhoneNumber,PhoneNumberType,EmailAddress,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName,TerritoryName,TerritoryGroup,SalesPersonID,FullName,JobTitle,SalesTerritory,2002,2003,2004,StateProvinceCode,StateProvinceName,CountryRegionCode,CountryRegionName,Name,AnnualSales,AnnualRevenue,BankName,BusinessType,YearOpened,Specialty,SquareFeet,Brands,Internet,NumberEmployees,Name,ContactType,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,Name,AddressType,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName,Name,ContactType,Title,FirstName,MiddleName,LastName,Suffix,PhoneNumber,PhoneNumberType,EmailAddress,Name,AddressType,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName","%AttDomain","%AttName","","%AttDef","String","","","","","","","SQL","","","","","","","","","","Default String Icon","Default String Icon",""
"1075838983::35","Number",Domain,"","Number","Number","","integer","","Null","","","false","","","","","","","Number","INTEGER","_default_","","","","","","","Flag,NameStyle,PersonID,SystemInformationID,DatabaseLogID,ErrorLogID,ErrorNumber,ErrorSeverity,ErrorState,ErrorLine,DepartmentID,VacationHours,SickLeaveHours,rowguid,Rate,PayFrequency,JobCandidateID,ShiftID,AddressID,rowguid,AddressTypeID,rowguid,BusinessEntityID,rowguid,rowguid,rowguid,ContactTypeID,EmailAddressID,rowguid,rowguid,EmailPromotion,rowguid,PhoneNumberTypeID,StateProvinceID,rowguid,BillOfMaterialsID,BOMLevel,PerAssemblyQty,FolderFlag,ChangeNumber,Status,rowguid,IllustrationID,LocationID,CostRate,Availability,ProductID,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Weight,DaysToManufacture,rowguid,ProductCategoryID,rowguid,StandardCost,ProductDescriptionID,rowguid,Bin,Quantity,rowguid,ListPrice,ProductModelID,rowguid,ProductPhotoID,ProductReviewID,Rating,ProductSubcategoryID,rowguid,ScrapReasonID,TransactionID,ReferenceOrderID,ReferenceOrderLineID,Quantity,ActualCost,TransactionID,ProductID,ReferenceOrderID,ReferenceOrderLineID,Quantity,ActualCost,WorkOrderID,OrderQty,ScrappedQty,ProductID,OperationSequence,ActualResourceHrs,PlannedCost,ActualCost,AverageLeadTime,StandardPrice,LastReceiptCost,MinOrderQty,MaxOrderQty,OnOrderQty,PurchaseOrderDetailID,OrderQty,UnitPrice,ReceivedQty,RejectedQty,PurchaseOrderID,RevisionNumber,Status,SubTotal,TaxAmt,Freight,ShipMethodID,ShipBase,ShipRate,rowguid,CreditRating,CreditCardID,ExpMonth,ExpYear,CurrencyRateID,AverageRate,EndOfDayRate,CustomerID,rowguid,SalesOrderDetailID,OrderQty,UnitPrice,UnitPriceDiscount,rowguid,SalesOrderID,RevisionNumber,Status,SubTotal,TaxAmt,Freight,rowguid,SalesQuota,Bonus,CommissionPct,SalesYTD,SalesLastYear,rowguid,SalesQuota,rowguid,SalesReasonID,SalesTaxRateID,TaxType,TaxRate,rowguid,TerritoryID,SalesYTD,SalesLastYear,CostYTD,CostLastYear,rowguid,rowguid,ShoppingCartItemID,Quantity,SpecialOfferID,DiscountPct,MinQty,MaxQty,rowguid,rowguid,rowguid,BusinessEntityID,rowguid,BusinessEntityID,EmailPromotion,BusinessEntityID,BusinessEntityID,BusinessEntityID,EmailPromotion,BusinessEntityID,JobCandidateID,BusinessEntityID,JobCandidateID,JobCandidateID,ProductID,ProductModelID,rowguid,ProductModelID,rowguid,BusinessEntityID,EmailPromotion,SalesQuota,SalesYTD,SalesLastYear,StateProvinceID,IsOnlyStateProvinceFlag,TerritoryID,BusinessEntityID,BusinessEntityID,EmailPromotion,BusinessEntityID,BusinessEntityID,EmailPromotion,BusinessEntityID","%AttDomain","%AttName","","%AttDef","Number","","","","","","","SQL","","","","","","","","","","Default Number Icon","Default Number Icon",""
"1075838983::36","Datetime",Domain,"","Datetime","DateTime","","datetime","","Null","","","false","","","","","","","Datetime","DATE","_default_","","","","","","","VersionDate,ModifiedDate,PostTime,ErrorTime,ModifiedDate,BirthDate,HireDate,ModifiedDate,StartDate,EndDate,ModifiedDate,RateChangeDate,ModifiedDate,ModifiedDate,StartTime,EndTime,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,StartDate,EndDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,SellStartDate,SellEndDate,DiscontinuedDate,ModifiedDate,ModifiedDate,StartDate,EndDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,StartDate,EndDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ReviewDate,ModifiedDate,ModifiedDate,ModifiedDate,TransactionDate,ModifiedDate,TransactionDate,ModifiedDate,ModifiedDate,StartDate,EndDate,DueDate,ModifiedDate,ScheduledStartDate,ScheduledEndDate,ActualStartDate,ActualEndDate,ModifiedDate,LastReceiptDate,ModifiedDate,DueDate,ModifiedDate,OrderDate,ShipDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,CurrencyRateDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,OrderDate,DueDate,ShipDate,ModifiedDate,ModifiedDate,ModifiedDate,QuotaDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,StartDate,EndDate,ModifiedDate,DateCreated,ModifiedDate,StartDate,EndDate,ModifiedDate,ModifiedDate,ModifiedDate,ModifiedDate,StartDate,StartDate,EndDate,ModifiedDate,ModifiedDate,ModifiedDate","%AttDomain","%AttName","","%AttDef","Datetime","","","","","","","SQL","","","","","","","","","","Default Datetime Icon","Default Datetime Icon",""
"1075838983::37","Blob",Domain,"","Blob","Blob","","varbinary","","Null","","","false","","","","","","","Blob","LARGE BINARY","_default_","","","","","","","Document,ThumbNailPhoto,LargePhoto","%AttDomain","%AttName","","%AttDef","Blob","","","","","","","SQL","","","","","","","","","","Default Blob Icon","Default Blob Icon",""
"1075838983::210","AccountNumber",Domain,"","AccountNumber","<Regular Domain>","","nvarchar(15)","","Null","","","true","","","","","","","AccountNumber","NVARCHAR(15)","String","","","","","","","AccountNumber,AccountNumber","%AttDomain","%AttName","","%AttDef","AccountNumber","","","","SQL_Latin1_General_CP1_CI_AS","","","SQL","","","","dbo","","","","","","Default String Icon","Default String Icon",""
"1075838983::211","Flag",Domain,"","Flag","<Regular Domain>","","bit","","Not Null","","","true","","","","","","","Flag","SMALLINT","Number","","","","","","","SalariedFlag,CurrentFlag,IsOnlyStateProvinceFlag,MakeFlag,FinishedGoodsFlag,Primary,PreferredVendorStatus,ActiveFlag,OnlineOrderFlag","%AttDomain","%AttName","","%AttDef","Flag","","","","","","","SQL","","","","dbo","","","","","","Default Number Icon","Default Number Icon",""
"1075838983::212","NameStyle",Domain,"","NameStyle","<Regular Domain>","","bit","","Not Null","","","true","","","","","","","NameStyle","SMALLINT","Number","","","","","","","NameStyle","%AttDomain","%AttName","","%AttDef","NameStyle","","","","","","","SQL","","","","dbo","","","","","","Default Number Icon","Default Number Icon",""
"1075838983::213","Name",Domain,"","Name","<Regular Domain>","","nvarchar(50)","","Null","","","true","","","","","","","Name","NVARCHAR(50)","String","","","","","","","Name,GroupName,Name,Name,Name,Name,FirstName,MiddleName,LastName,Name,Name,Name,Name,Name,Name,Name,ReviewerName,Name,Name,Name,Name,Name,Name,Name,ReasonType,Name,Name,Name","%AttDomain","%AttName","","%AttDef","Name","","","","SQL_Latin1_General_CP1_CI_AS","","","SQL","","","","dbo","","","","","","Default String Icon","Default String Icon",""
