ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849713::Is Detach,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075848978::Type,1075849001::Min,1075849002::Max,1075849003::Error Message,1075849714::Quote Value,1075849715::Invert Expression,1075849722::Is Not For Replication,1075850193::Dependent Objects  [read only]
"1075839020::623","CK_Employee_BirthDate",Validation Rule,"","CK_Employee_BirthDate"," BETWEEN '1930-01-01' AND 'dateadd(year,(-18),getdate'","","","","CK_Employee_BirthDate","","CK_Employee_BirthDate","CK_Employee_BirthDate","HumanResources","false","","MinMax","1930-01-01","dateadd(year,(-18),getdate","","Yes","false","","CK_Employee_BirthDate"
"1075839020::625","CK_Employee_MaritalStatus",Validation Rule,"","CK_Employee_MaritalStatus","[]='S' OR []='M'","","","","CK_Employee_MaritalStatus","","CK_Employee_MaritalStatus","CK_Employee_MaritalStatus","HumanResources","false","","Valid Values","","","","Yes","","","CK_Employee_MaritalStatus"
"1075839020::627","CK_Employee_Gender",Validation Rule,"","CK_Employee_Gender","[]='F' OR []='M'","","","","CK_Employee_Gender","","CK_Employee_Gender","CK_Employee_Gender","HumanResources","false","","Valid Values","","","","Yes","","","CK_Employee_Gender"
"1075839020::629","CK_Employee_HireDate",Validation Rule,"","CK_Employee_HireDate"," BETWEEN '1996-07-01' AND 'dateadd(day,(1),getdate'","","","","CK_Employee_HireDate","","CK_Employee_HireDate","CK_Employee_HireDate","HumanResources","false","","MinMax","1996-07-01","dateadd(day,(1),getdate","","Yes","false","","CK_Employee_HireDate"
"1075839020::633","CK_Employee_VacationHours",Validation Rule,"","CK_Employee_VacationHours"," BETWEEN -40 AND 240","","","","CK_Employee_VacationHours","","CK_Employee_VacationHours","CK_Employee_VacationHours","HumanResources","false","","MinMax","-40","240","","No","false","","CK_Employee_VacationHours"
"1075839020::637","CK_Employee_SickLeaveHours",Validation Rule,"","CK_Employee_SickLeaveHours"," BETWEEN 0 AND 120","","","","CK_Employee_SickLeaveHours","","CK_Employee_SickLeaveHours","CK_Employee_SickLeaveHours","HumanResources","false","","MinMax","0","120","","No","false","","CK_Employee_SickLeaveHours"
"1075839020::687","CK_EmployeeDepartmentHistory_EndDate",Validation Rule,"","CK_EmployeeDepartmentHistory_EndDate","[EndDate]>=[StartDate] OR [EndDate] IS NULL","","","","CK_EmployeeDepartmentHistory_EndDate","","CK_EmployeeDepartmentHistory_EndDate","CK_EmployeeDepartmentHistory_EndDate","HumanResources","false","","User-Defined","","","","","","","CK_EmployeeDepartmentHistory_EndDate"
"1075839020::694","CK_EmployeePayHistory_Rate",Validation Rule,"","CK_EmployeePayHistory_Rate"," BETWEEN 6.50 AND 200.00","","","","CK_EmployeePayHistory_Rate","","CK_EmployeePayHistory_Rate","CK_EmployeePayHistory_Rate","HumanResources","false","","MinMax","6.50","200.00","","No","false","","CK_EmployeePayHistory_Rate"
"1075839020::696","CK_EmployeePayHistory_PayFrequency",Validation Rule,"","CK_EmployeePayHistory_PayFrequency","[]=2 OR []=1","","","","CK_EmployeePayHistory_PayFrequency","","CK_EmployeePayHistory_PayFrequency","CK_EmployeePayHistory_PayFrequency","HumanResources","false","","Valid Values","","","","","","","CK_EmployeePayHistory_PayFrequency"
"1075839020::903","CK_Person_PersonType",Validation Rule,"","CK_Person_PersonType","[PersonType] IS NULL OR (upper([PersonType])='GC' OR upper([PersonType])='SP' OR upper([PersonType])='EM' OR upper([PersonType])='IN' OR upper([PersonType])='VC' OR upper([PersonType])='SC')","","","","CK_Person_PersonType","","CK_Person_PersonType","CK_Person_PersonType","Person","false","","User-Defined","","","","","","","CK_Person_PersonType"
