ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848978::Type  [read only],1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849102::View Column Expression,1075849115::Empty Is Null,1075849117::Read Only,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849131::Physical Order  [read only],1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849731::Font Color,1075849769::Generated Identity,1075849842::Color Is Inherited,1075849843::Font Inherited,1075849998::Font Size,1075849999::Font Bold,1075850000::Font Italic,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850085::Attribute Order  [read only],1075850088::Column Order  [read only],1075850089::Theme,1075850186::Expression,1075850193::Dependent Objects  [read only],1075850237::Logical Lead Attribute  [read only],1075850245::Physical Lead Attribute  [read only],1075850297::Font Charset,1075850516::User Formatted Name  [read only],1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850744::Sparse,1075851000::Is Filestream,1075851001::Is Sparse Column Set,1075851147::Font,1075851148::Font Name,1075851149::Font Strikethrough,1075851150::Font Underscore,1075851212::Average Width,1075851250::Is Encrypted,1075851720::Image,1075852278::Extended Notes Order  [read only],1075852305::Column Mask Function,1075852321::Column Encryption Key,1075852322::Encryption Type,1075852340::Hidden,1075852464::Password,1075852560::PII,1075853568::Column Class,1075853916::Attribute Data Vault Complaincy,1092616196::Attribute.Physical.Description
"1075838981::560","OrderID",Column,"","OrderID","Primary Key","","int","","Not Null","","","","","","","1","","","","","","OrderID","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","OrderIDList,OrderID","","","Western","OrderID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::562","OrderReference",Column,"","OrderReference","Non Primary Key","","int","","Null","","","","","","","1","","","","","","OrderReference","INTEGER","Number","","0","","","","10","false","false","","","","1","1","","","OrderLineList,OrderReference","","","Western","OrderReference","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::563","StockItemID",Column,"","StockItemID","Non Primary Key","","int","","Null","","","","","","","2","","","","","","StockItemID","INTEGER","Number","","8470830","","","","10","false","false","","","","2","2","","","OrderLineList","","","Western","StockItemID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::564","Description",Column,"","Description","Non Primary Key","","nvarchar(100)","","Null","","","","","","","3","","","","","","Description","NVARCHAR(100)","String","","8470830","","","","10","false","false","","","","3","3","","","OrderLineList","","","Western","Description","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","false","","","","",""
"1075838981::565","Quantity",Column,"","Quantity","Non Primary Key","","int","","Null","","","","","","","4","","","","","","Quantity","INTEGER","Number","","8470830","","","","10","false","false","","","","4","4","","","OrderLineList","","","Western","Quantity","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::568","OrderReference",Column,"","OrderReference","Primary Key","","int","","Not Null","","","","","","","1","","","","","","OrderReference","INTEGER","Number","","8470830","","","","10","false","false","","","","1","1","","","OrderList,OrderReference","","","Western","OrderReference","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::569","CustomerID",Column,"","CustomerID","Non Primary Key","","int","","Null","","","","","","","2","","","","","","CustomerID","INTEGER","Number","","8470830","","","","10","false","false","","","","2","2","","","OrderList","","","Western","CustomerID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::570","ContactPersonID",Column,"","ContactPersonID","Non Primary Key","","int","","Null","","","","","","","3","","","","","","ContactPersonID","INTEGER","Number","","8470830","","","","10","false","false","","","","3","3","","","OrderList","","","Western","ContactPersonID","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","","false","","","","",""
"1075838981::571","ExpectedDeliveryDate",Column,"","ExpectedDeliveryDate","Non Primary Key","","date","","Null","","","","","","","4","","","","","","ExpectedDeliveryDate","INTERVAL","Datetime","","8470830","","","","10","false","false","","","","4","4","","","OrderList","","","Western","ExpectedDeliveryDate","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","","false","","","","",""
"1075838981::572","CustomerPurchaseOrderNumber",Column,"","CustomerPurchaseOrderNumber","Non Primary Key","","nvarchar(20)","","Null","","","","","","","5","","","","","","CustomerPurchaseOrderNumber","NVARCHAR(20)","String","","8470830","","","","10","false","false","","","","5","5","","","OrderList","","","Western","CustomerPurchaseOrderNumber","","","Latin1_General_100_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","","false","","","","",""
