ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value  [read only],1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only],1075849083::Default,1075850212::Constraint Name,1075850212::Constraint Name
"1075839170::588","DF_Sales_BuyingGroups_BuyingGroupID",Default Constraint Usage,"","DF_Sales_BuyingGroups_BuyingGroupID","NEXT VALUE FOR [Sequences].[BuyingGroupID]","","DF_Sales_BuyingGroups_BuyingGroupID","","DF_Sales_BuyingGroups_BuyingGroupID","","DF_Sales_BuyingGroups_BuyingGroupID","",""
"1075839170::614","DF_Application_Cities_CityID",Default Constraint Usage,"","DF_Application_Cities_CityID","NEXT VALUE FOR [Sequences].[CityID]","","DF_Application_Cities_CityID","","DF_Application_Cities_CityID","","DF_Application_Cities_CityID","",""
"1075839170::660","DF_Warehouse_Colors_ColorID",Default Constraint Usage,"","DF_Warehouse_Colors_ColorID","NEXT VALUE FOR [Sequences].[ColorID]","","DF_Warehouse_Colors_ColorID","","DF_Warehouse_Colors_ColorID","","DF_Warehouse_Colors_ColorID","",""
"1075839170::692","DF_Application_Countries_CountryID",Default Constraint Usage,"","DF_Application_Countries_CountryID","NEXT VALUE FOR [Sequences].[CountryID]","","DF_Application_Countries_CountryID","","DF_Application_Countries_CountryID","","DF_Application_Countries_CountryID","",""
"1075839170::727","DF_Sales_CustomerCategories_CustomerCategoryID",Default Constraint Usage,"","DF_Sales_CustomerCategories_CustomerCategoryID","NEXT VALUE FOR [Sequences].[CustomerCategoryID]","","DF_Sales_CustomerCategories_CustomerCategoryID","","DF_Sales_CustomerCategories_CustomerCategoryID","","DF_Sales_CustomerCategories_CustomerCategoryID","",""
"1075839170::776","DF_Sales_Customers_CustomerID",Default Constraint Usage,"","DF_Sales_Customers_CustomerID","NEXT VALUE FOR [Sequences].[CustomerID]","","DF_Sales_Customers_CustomerID","","DF_Sales_Customers_CustomerID","","DF_Sales_Customers_CustomerID","",""
"1075839170::860","DF_Sales_CustomerTransactions_CustomerTransactionID",Default Constraint Usage,"","DF_Sales_CustomerTransactions_CustomerTransactionID","NEXT VALUE FOR [Sequences].[TransactionID]","","DF_Sales_CustomerTransactions_CustomerTransactionID","","DF_Sales_CustomerTransactions_CustomerTransactionID","","DF_Sales_CustomerTransactions_CustomerTransactionID","",""
"1075839170::862","DF_Sales_CustomerTransactions_LastEditedWhen",Default Constraint Usage,"","DF_Sales_CustomerTransactions_LastEditedWhen","sysdatetime()","","DF_Sales_CustomerTransactions_LastEditedWhen","","DF_Sales_CustomerTransactions_LastEditedWhen","","DF_Sales_CustomerTransactions_LastEditedWhen","",""
"1075839170::930","DF_Application_DeliveryMethods_DeliveryMethodID",Default Constraint Usage,"","DF_Application_DeliveryMethods_DeliveryMethodID","NEXT VALUE FOR [Sequences].[DeliveryMethodID]","","DF_Application_DeliveryMethods_DeliveryMethodID","","DF_Application_DeliveryMethods_DeliveryMethodID","","DF_Application_DeliveryMethods_DeliveryMethodID","",""
"1075839170::961","DF_Sales_InvoiceLines_InvoiceLineID",Default Constraint Usage,"","DF_Sales_InvoiceLines_InvoiceLineID","NEXT VALUE FOR [Sequences].[InvoiceLineID]","","DF_Sales_InvoiceLines_InvoiceLineID","","DF_Sales_InvoiceLines_InvoiceLineID","","DF_Sales_InvoiceLines_InvoiceLineID","",""
